Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
E:\udacity\IMG\robocam_2017_06_03_19_53_21_639.jpg;0;1;0;5.014433;117.1629;100.5318;1.483961;34.83862;-0.005299443
E:\udacity\IMG\robocam_2017_06_03_19_53_21_689.jpg;0;1;0;5.01711;117.4099;100.7041;1.507493;34.84259;359.9925
E:\udacity\IMG\robocam_2017_06_03_19_53_21_739.jpg;0;1;0;4.984519;117.5739;100.8182;1.468175;34.83805;-0.002453003
E:\udacity\IMG\robocam_2017_06_03_19_53_21_789.jpg;0;1;0;5.013623;117.8208;100.9892;1.434594;34.82108;-0.002214316
E:\udacity\IMG\robocam_2017_06_03_19_53_21_839.jpg;0;1;0;5.007837;117.9856;101.1031;1.421486;34.8051;-0.001878613
E:\udacity\IMG\robocam_2017_06_03_19_53_21_889.jpg;0;1;0;5.003431;118.2334;101.2741;1.420938;34.78642;-0.001911066
E:\udacity\IMG\robocam_2017_06_03_19_53_21_939.jpg;0;1;0;5.015108;118.3983;101.3877;1.418882;34.74799;-0.001454529
E:\udacity\IMG\robocam_2017_06_03_19_53_21_989.jpg;0;1;0;5.009101;118.6466;101.5584;1.438108;34.718;-0.001593964
E:\udacity\IMG\robocam_2017_06_03_19_53_22_039.jpg;0;1;0;5.020018;118.8122;101.6722;1.456681;34.69908;-0.001731319
E:\udacity\IMG\robocam_2017_06_03_19_53_22_090.jpg;0;1;0;5.028693;119.0604;101.8425;1.481089;34.63704;-0.0005129157
E:\udacity\IMG\robocam_2017_06_03_19_53_22_139.jpg;0;1;0;5.013952;119.2263;101.9562;1.507628;34.61461;-0.00168999
E:\udacity\IMG\robocam_2017_06_03_19_53_22_189.jpg;0;1;0;5.009581;119.4743;102.1258;1.465003;34.57431;-0.00216385
E:\udacity\IMG\robocam_2017_06_03_19_53_22_239.jpg;0;1;0;5.008488;119.6384;102.2379;1.403302;34.54005;-0.001409736
E:\udacity\IMG\robocam_2017_06_03_19_53_22_289.jpg;0;1;0;5.010396;119.8863;102.4071;1.357135;34.50737;-0.001435276
E:\udacity\IMG\robocam_2017_06_03_19_53_22_339.jpg;0;1;0;5.016931;120.0518;102.5199;1.340063;34.4884;-0.001539241
E:\udacity\IMG\robocam_2017_06_03_19_53_22_389.jpg;0;1;0;5.023542;120.3;102.689;1.324893;34.42693;-0.0004283353
E:\udacity\IMG\robocam_2017_06_03_19_53_22_439.jpg;0;1;0;5.014177;120.4661;102.8019;1.330312;34.40606;-0.001480576
E:\udacity\IMG\robocam_2017_06_03_19_53_22_489.jpg;0;1;0;5.016505;120.7151;102.9711;1.34784;34.36852;-0.001207783
E:\udacity\IMG\robocam_2017_06_03_19_53_22_539.jpg;0;1;0;4.997686;120.8813;103.0838;1.366248;34.33945;-0.0008946889
